time,current mc,min energy,most consume,queue length
404401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
404501,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
404601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
404701,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
404801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
404901,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
405001,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
405101,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
405201,"(92, 104)",-7.349999086224823e-06,8.823529411764705e-07,126
405301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
405401,"(92, 104)",-7.349999086224823e-06,8.823529411764705e-07,126
405501,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,126
405601,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,126
405701,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
405801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
405901,"(92, 104)",-7.349999086224823e-06,1.4831372549019606e-06,126
406001,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,126
406101,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
406201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
406301,"(92, 104)",-7.349999086224823e-06,1.0192999999999999e-05,126
406401,"(92, 104)",-7.349999086224823e-06,1.0161999999999999e-05,126
406501,"(92, 104)",-7.349999086224823e-06,1.0161999999999999e-05,126
406601,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
406701,"(92, 104)",-7.349999086224823e-06,8.823529411764705e-07,126
406801,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
406901,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
407001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
407101,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
407201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
407301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
407401,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
407501,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
407601,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
407701,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
407801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
407901,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
408001,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,126
408101,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
408201,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
408301,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,126
408401,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
408501,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
408601,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
408701,"(92, 104)",-7.349999086224823e-06,8.898823529411764e-07,126
408801,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,126
408901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
409001,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
409101,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,126
409201,"(92, 104)",-7.349999086224823e-06,1.0101e-05,126
409301,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
409401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
409501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
409601,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
409701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
409801,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
409901,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
410001,"(92, 104)",-7.349999086224823e-06,1.0097999999999999e-05,126
410101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
410201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
410301,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
410401,"(92, 104)",-7.349999086224823e-06,1.0784313725490194e-06,126
410501,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
410601,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
410701,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,126
410801,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
410901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
411001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
411101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
411201,"(92, 104)",-7.349999086224823e-06,7.5505e-06,126
411301,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
411401,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
